Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
469,Acoustical Physics,1063-7710,1562-6865,0.8 (2022)
470,Acoustics Australia,,,1.7 (2022)
471,Acta Analytica,0353-5150,1874-6349,0.4 (2022)
472,Acta Applicandae Mathematicae,0167-8019,1572-9036,1.6 (2022)
473,Acta Biotheoretica,0001-5342,1572-8358,1.3 (2022)
474,Acta Diabetologica,,,3.8 (2022)
475,Acta Endoscopica,,,
476,Acta Epileptologica,,,
477,Acta Geochimica,2096-0956,2365-7499,1.6 (2022)
478,Acta Geodaetica et Geophysica,2213-5812,2213-5820,1.4 (2022)
479,Acta Geophysica,,,2.3 (2022)
480,Acta Geotechnica,1861-1125,1861-1133,5.7 (2022)
481,Acta Informatica,0001-5903,1432-0525,0.6 (2022)
482,Acta Juridica Hungarica,,,
483,Acta Linguistica Hungarica,,,
484,Acta Mathematica,,,
485,Acta Mathematica Hungarica,0236-5294,1588-2632,0.9 (2022)
486,Acta Mathematica Scientia,0252-9602,1572-9087,1.0 (2022)
487,"Acta Mathematica Sinica, English Series",1439-8516,1439-7617,0.7 (2022)
488,Acta Mathematica Vietnamica,0251-4184,2315-4144,0.5 (2022)
489,"Acta Mathematicae Applicatae Sinica, English Series",0168-9673,1618-3932,0.8 (2022)
490,Acta Mechanica,0001-5970,1619-6937,2.7 (2022)
491,Acta Mechanica Sinica,0567-7718,1614-3116,3.5 (2022)
492,Acta Mechanica Solida Sinica,0894-9166,1860-2134,2.2 (2022)
493,Acta Metallurgica Sinica (English Letters),1006-7191,2194-1289,3.5 (2022)
494,Acta Neurochirurgica,0001-6268,0942-0940,2.4 (2022)
495,Acta Neurologica Belgica,0300-9009,2240-2993,2.7 (2022)
496,Acta Neuropathologica,0001-6322,1432-0533,12.7 (2022)
497,Acta Neuropathologica Communications,,,
498,Acta Oceanologica Sinica,0253-505X,1869-1099,1.4 (2022)
499,Acta Parasitologica,1230-2821,1896-1851,1.5 (2022)
500,Acta Physica Hungarica,,,
501,Acta Physica Hungarica B) Quantum Electronics,,,
502,Acta Physica Hungarica A) Heavy Ion Physics,,,
503,Acta Physiologiae Plantarum,,,2.6 (2022)
504,,,,
505,Acta Scientiarum Mathematicarum,0001-6969,2064-8316,0.5 (2022)
506,Acta Veterinaria Scandinavica,,,
507,Acta physica Academiae Scientiarum Hungaricae,,,
508,Activitas Nervosa Superior,,,
509,Adaptive Human Behavior and Physiology,,,1.6 (2022)
510,Addiction Science & Clinical Practice,,,
511,Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,2.6 (2022)
512,Adolescent Research Review,2363-8346,2363-8354,4.7 (2022)
513,Adsorption,0929-5607,1572-8757,3.3 (2022)
514, Advanced Biotechnology,,2948-2801,
515,Advanced Composites and Hybrid Materials,2522-0128,2522-0136,20.1 (2022)
516,Advanced Fiber Materials,2524-7921,2524-793X,16.1 (2022)
517,Advanced Modeling and Simulation in Engineering Sciences,,,
518,Advanced Performance Materials,,,
519,Advanced Structural and Chemical Imaging,,,
520,Advances in Aerodynamics,,,
521,Advances in Applied Clifford Algebras,0188-7009,1661-4909,1.5 (2022)
522,Advances in Astronautics Science and Technology,2524-5252,2524-5260,4 days
523,Advances in Atmospheric Sciences,0256-1530,1861-9533,5.8 (2022)
524,Advances in Bridge Engineering,,,
525,Advances in Computational Intelligence,2730-7794,2730-7808,33 days
526,Advances in Computational Mathematics,1019-7168,1572-9044,1.7 (2022)
527,Advances in Continuous and Discrete Models,,,
528,Advances in Contraception,,,
529,Advances in Data Analysis and Classification,1862-5347,1862-5355,1.6 (2022)
530,Advances in Gerontology,2079-0570,2079-0589,0.6 (2022)
531,Advances in Health Sciences Education,1382-4996,1573-1677,4.0 (2022)
532,Advances in Manufacturing,2095-3127,2195-3597,5.2 (2022)
533,Advances in Neurodevelopmental Disorders,2366-7532,2366-7540,10 days
534,Advances in Operator Theory,2662-2009,2538-225X,0.8 (2022)
535,Advances in Rheumatology,,,
536,Advances in Simulation,,,
537,Advances in Therapy,,,3.8 (2022)
538,Advances in Traditional Medicine,2662-4052,2662-4060,21 days
539,Adversity and Resilience Science,2662-2424,2662-2416,26 days
540,Aegean Review of the Law of the Sea and Maritime Law,,,
541,Aequationes mathematicae,0001-9054,1420-8903,0.8 (2022)
542,Aerobiologia,0393-5965,1573-3025,2.0 (2022)
543,Aerosol Science and Engineering,2510-375X,2510-3768,1.4 (2022)
544,Aerospace Systems,2523-3947,2523-3955,11 days
545,Aerotecnica Missili & Spazio,0365-7442,2524-6968,31 days
546,Aesthetic Plastic Surgery,0364-216X,1432-5241,2.4 (2022)
547,Affective Science,2662-2041,2662-205X,12 days
548,African Archaeological Review,0263-0338,1572-9842,1.6 (2022)
549,African Journal of Urology,,,
550,Afrika Matematika,1012-9405,2190-7668,1.1 (2022)
551,Ageing International,0163-5158,1936-606X,1.5 (2022)
552,Aggiornamenti CIO,,,
553,Aging Clinical and Experimental Research,,,4.0 (2022)
554,Agricultural Research,2249-720X,2249-7218,1.4 (2022)
555,Agricultural and Food Economics,,,
556,Agriculture & Food Security,,,
557,Agriculture and Human Values,0889-048X,1572-8366,4.5 (2022)
558,Agroforestry Systems,0167-4366,1572-9680,2.2 (2022)
559,Agronomy for Sustainable Development,1774-0746,1773-0155,7.3 (2022)
560,Ain-Shams Journal of Anesthesiology,,,
561,"Air Quality, Atmosphere & Health",1873-9318,1873-9326,5.1 (2022)
562,Akupunktur & Aurikulomedizin,2192-9319,2196-6400,"39,678 (2022)"
563,Algebra Colloquium,,,
564,Algebra and Logic,0002-5232,1573-8302,0.5 (2022)
565,Algebra universalis,0002-5240,1420-8911,0.6 (2022)
566,Algebras and Representation Theory,1386-923X,1572-9079,0.6 (2022)
567,Algorithmica,0178-4617,1432-0541,1.1 (2022)
568,Algorithms for Molecular Biology,,,
569,Allergo Journal,0941-8849,2195-6405,1.1 (2022)
570,Allergo Journal International,,,7 days
571,"Allergy, Asthma & Clinical Immunology",,,
572,Alpine Botany,1664-2201,1664-221X,2.7 (2022)
573,Alzheimer's Research & Therapy,,,
574,Ambio,0044-7447,1654-7209,6.5 (2022)
575,American Journal of Cancer,,,
576,American Journal of Cardiovascular Drugs,1175-3277,1179-187X,3.0 (2022)
577,American Journal of Clinical Dermatology,1175-0561,1179-1888,7.3 (2022)
578,American Journal of Community Psychology,,,
579,American Journal of Criminal Justice,1066-2316,1936-1351,5.6 (2022)
580,,,,
581,American Journal of Dance Therapy,0146-3721,1573-3262,0.8 (2022)
582,American Journal of Drug Delivery,,,
583,American Journal of Pharmacogenomics,,,
584,American Journal of Potato Research,,,1.5 (2022)
585,Amino Acids,0939-4451,1438-2199,3.5 (2022)
586,Analog Integrated Circuits and Signal Processing,0925-1030,1573-1979,1.4 (2022)
587,Analysis Mathematica,0133-3852,1588-273X,0.7 (2022)
588,Analysis and Mathematical Physics,1664-2368,1664-235X,1.7 (2022)
589,Analytical Sciences,0910-6340,1348-2246,1.6 (2022)
590,Analytical and Bioanalytical Chemistry,1618-2642,1618-2650,4.3 (2022)
591,Anatomical Science International,1447-6959,1447-073X,1.2 (2022)
592,,,,
593,Angewandte Schmerztherapie und Palliativmedizin,,,
594,Angiogenesis,0969-6970,1573-7209,9.8 (2022)
595,Animal Biotelemetry,,,
596,Animal Cognition,1435-9448,1435-9456,2.7 (2022)
597,Animal Diseases,,,
598,Animal Microbiome,,,
599,Annalen der Philosophie,,,
600,Annalen der Philosophie und philosophischen Kritik,,,
601,Annales Geophysicae,,,
602,Annales Henri Poincaré,1424-0637,1424-0661,1.5 (2022)
603,Annales françaises de médecine d'urgence,,,
604,Annales mathématiques du Québec,2195-4755,2195-4763,0.5 (2022)
605,Annali di Matematica Pura ed Applicata (1858-1865),,,
606,Annali di Matematica Pura ed Applicata (1867-1897),,,
607,Annali di Matematica Pura ed Applicata (1898-1922),,,
608,Annali di Matematica Pura ed Applicata (1923 -),0373-3114,1618-1891,1.0 (2022)
609,Annals of Behavioral Medicine,,,
610,Annals of Biomedical Engineering,0090-6964,1573-9686,3.8 (2022)
611,Annals of Clinical Microbiology and Antimicrobials,,,
612,Annals of Clinical Psychiatry,,,
613,Annals of Combinatorics,0218-0006,0219-3094,0.5 (2022)
614,Annals of Data Science,2198-5804,2198-5812,43 days
615,Annals of Diagnostic Paediatric Pathology,,,
616,Annals of Dyslexia,0736-9387,1934-7243,2.3 (2022)
617,Annals of Finance,1614-2446,1614-2454,1.0 (2022)
618,Annals of Forest Science,,,
619,Annals of Functional Analysis,2639-7390,2008-8752,1.0 (2022)
620,Annals of General Psychiatry,,,
621,Annals of Global Analysis and Geometry,0232-704X,1572-9060,0.7 (2022)
622,Annals of Hematology,0939-5555,1432-0584,3.5 (2022)
623,Annals of Intensive Care,,,
624,Annals of Mathematics and Artificial Intelligence,1012-2443,1573-7470,1.2 (2022)
625,Annals of Microbiology,,,
626,Annals of Nuclear Medicine,0914-7187,1864-6433,2.6 (2022)
627,Annals of Occupational and Environmental Medicine,,,
628,Annals of Operations Research,0254-5330,1572-9338,4.8 (2022)
629,Annals of Ophthalmology,,,
630,Annals of PDE,,,2.8 (2022)
631,Annals of Pediatric Surgery,,,
632,Annals of Software Engineering,,,
633,Annals of Solid and Structural Mechanics,,,
634,Annals of Surgical Innovation and Research,,,
635,Annals of Surgical Oncology,1068-9265,1534-4681,3.7 (2022)
636,,,,
637,Ukrainian Mathematical Journal,0041-5995,1573-9376,0.5 (2022)
638,United Kingdom Balance of Payments - The Pink Book,,,
639,United Kingdom Economic Accounts,,,
640,United Kingdom National Accounts - The Blue Book,,,
641,Universal Access in the Information Society,1615-5289,1615-5297,2.4 (2022)
642,Unterrichtswissenschaft,0340-4099,2520-873X,19 days
643,Updates in Surgery,,,2.6 (2022)
644,Urban Ecosystems,1083-8155,1573-1642,2.9 (2022)
645,Urban Forum,1015-3802,1874-6330,1.4 (2022)
646,Urban Rail Transit,2199-6687,2199-6679,1.5 (2022)
647,Urban Transformations,,,
648,Uro-News,1432-9026,2196-5676,"269,902 (2022)"
649,Urolithiasis,2194-7228,2194-7236,3.1 (2022)
650,Urologic Radiology,,,
651,Urologie in der Praxis,2661-8737,2661-8745,"33,847 (2022)"
652,User Modeling and User-Adapted Interaction,0924-1868,1573-1391,3.6 (2022)
653,Built Heritage,,,
654,Bulletin Géodésique (1946-1975),,,
655,Bulletin de la Société de pathologie exotique,,,
656,Bulletin Géodésique (1922-1943),,,
657,Bulletin of Atmospheric Science and Technology,2662-1495,2662-1509,"11,971 (2022)"
658,Bulletin of Earthquake Engineering,1570-761X,1573-1456,4.6 (2022)
659,Bulletin of Engineering Geology and the Environment,1435-9529,1435-9537,4.2 (2022)
660,Bulletin of Environmental Contamination and Toxicology,0007-4861,1432-0800,2.7 (2022)
661,Bulletin of Experimental Biology and Medicine,0007-4888,1573-8221,0.7 (2022)
662,Bulletin of Faculty of Physical Therapy,,,
663,Bulletin of Materials Science,,,1.8 (2022)
664,Bulletin of Mathematical Biology,0092-8240,1522-9602,3.5 (2022)
665,Bulletin of Mathematical Sciences,,,
666,Bulletin of Volcanology,,,3.5 (2022)
667,"Bulletin of the Brazilian Mathematical Society, New Series",1678-7544,1678-7714,0.7 (2022)
668,Bulletin of the Crimean Astrophysical Observatory,,,
669,Bulletin of the Iranian Mathematical Society,,,0.7 (2022)
670,Bulletin of the Lebedev Physics Institute,1068-3356,1934-838X,0.4 (2022)
671,Bulletin of the Malaysian Mathematical Sciences Society,0126-6705,2180-4206,1.2 (2022)
672,Bulletin of the National Research Centre,,,
673,Bulletin of the Psychonomic Society,,,
674,Bulletin of the Russian Academy of Sciences: Physics,1062-8738,1934-9432,"30,133 (2022)"
675,Bulletin of General Relativity and Gravitation,,,
676,Bulletin Volcanologique,,,
677,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1436-9990,1437-1588,1.7 (2022)
678,Burns & Trauma,,,
679,Business & Information Systems Engineering,2363-7005,1867-0202,7.9 (2022)
680,Family Spending,,,
681,Fashion and Textiles,,,
682,Feminist Legal Studies,0966-3622,1572-8455,2.8 (2022)
683,Feminist Review,,,
684,Fertility Research and Practice,,,
685,Few-Body Systems,,,1.6 (2022)
686,Fibers and Polymers,1229-9197,1875-0052,2.5 (2022)
687,Fibre Chemistry,0015-0541,1573-8493,0.5 (2022)
688,Fibrogenesis & Tissue Repair,,,
689,Fields Mathematics Education Journal,,,
690,Filaria Journal,,,
691,Finance and Stochastics,0949-2984,1432-1122,1.7 (2022)
692,Financial Innovation,,,
693,Financial Markets and Portfolio Management,1934-4554,2373-8529,1.9 (2022)
694,Financial Statistics,,,
695,Fire Ecology,,,
696,Fire Science Reviews,,,
697,Fire Technology,0015-2684,1572-8099,3.4 (2022)
698,Fish Physiology and Biochemistry,0920-1742,1573-5168,2.9 (2022)
699,Fisheries Science,0919-9268,1444-2906,1.9 (2022)
700,Fisheries and Aquatic Sciences,,,
701,Fixed Point Theory and Algorithms for Sciences and Engineering,,,
702,Fizier,,,845 (2021)
703,Flavour,,,
704,Flexible Services and Manufacturing Journal,1936-6582,1936-6590,2.7 (2022)
705,"Flow, Turbulence and Combustion",1386-6184,1573-1987,2.4 (2022)
706,Fluid Dynamics,0015-4628,1573-8507,0.9 (2022)
707,Fluids and Barriers of the CNS,,,
708,Folia Geobotanica,1211-9520,1874-9348,1.2 (2022)
709,Folia Microbiologica,0015-5632,1874-9356,2.6 (2022)
710,Food Analytical Methods,1936-9751,1936-976X,2.9 (2022)
711,Food Biophysics,,,3.0 (2022)
712,Food Digestion: Research and Current Opinion,,,
713,Food Engineering Reviews,1866-7910,1866-7929,6.6 (2022)
714,Food Ethics,2364-6853,2364-6861,"75,273 (2022)"
715,"Food Production, Processing and Nutrition",,,
716,Food Safety and Risk,,,
717,Food Science and Biotechnology,1226-7708,2092-6456,2.9 (2022)
718,Food Security,1876-4517,1876-4525,6.7 (2022)
719,Food and Bioprocess Technology,1935-5130,1935-5149,5.6 (2022)
720,Food and Environmental Virology,1867-0334,1867-0342,3.4 (2022)
721,"Forensic Science, Medicine and Pathology",,,1.8 (2022)
722,Forensic Toxicology,1860-8965,1860-8973,2.2 (2022)
723,"Forensische Psychiatrie, Psychologie, Kriminologie",1862-7072,1862-7080,0.8 (2022)
724,Forest Ecosystems,,,
725,Forest Science and Practice,,,
726,Formal Aspects of Computing,,,
727,Formal Methods in System Design,0925-9856,1572-8102,0.8 (2022)
728,Forschung im Ingenieurwesen,0015-7899,1434-0860,1.1 (2022)
729,Fortschrittsberichte über Kolloide und Polymere,,,
730,Forum,,,"54,271 (2022)"
731,Forum Kinder- und Jugendsport,2730-7212,2730-7220,"66,327 (2022)"
732,Forum der Psychoanalyse,0178-7667,1437-0751,0.5 (2022)
733,Forum for Social Economics,,,
734,Foundations of Chemistry,1386-4238,1572-8463,0.9 (2022)
735,Foundations of Computational Mathematics,1615-3375,1615-3383,3.0 (2022)
736,Foundations of Physics,,,1.5 (2022)
737,Foundations of Physics Letters,,,
738,Foundations of Science,1233-1821,1572-8471,0.9 (2022)
739,Fractional Calculus and Applied Analysis,1311-0454,1314-2224,3.0 (2022)
740,,,,
741,Friction,2223-7690,2223-7704,6.8 (2022)
742,Frontiers in Biology,,,
743,Frontiers in Energy,2095-1701,2095-1698,2.9 (2022)
744,Frontiers in Zoology,,,
745,Frontiers of Agriculture in China,,,
746,Frontiers of Business Research in China,,,
747,Frontiers of Chemical Science and Engineering,2095-0179,2095-0187,4.5 (2022)
748,Frontiers of Chemistry in China,,,
749,Frontiers of Computer Science,2095-2228,2095-2236,4.2 (2022)
750,Frontiers of Earth Science,2095-0195,2095-0209,2.0 (2022)
751,Frontiers of Economics in China,,,
752,Frontiers of Education in China,,,
753,Frontiers of Electrical and Electronic Engineering,,,
754,Frontiers of Engineering Management,2095-7513,2096-0255,7.4 (2022)
755,Frontiers of Environmental Science & Engineering,2095-2201,2095-221X,6.7 (2022)
756,Frontiers of Forestry in China,,,
757,Frontiers of History in China,,,
758,Frontiers of Information Technology & Electronic Engineering,2095-9184,2095-9230,3.0 (2022)
759,Frontiers of Law in China,,,
760,Frontiers of Literary Studies in China,,,
761,Frontiers of Materials Science,2095-025X,2095-0268,2.7 (2022)
762,Frontiers of Mathematics,2731-8648,2731-8656,"5,274 (2022)"
763,Frontiers of Mechanical Engineering,2095-0233,2095-0241,4.5 (2022)
764,Frontiers of Medicine,2095-0217,2095-0225,8.1 (2022)
765,,,,
766,Frontiers of Philosophy in China,,,
767,Frontiers of Physics,2095-0462,2095-0470,7.5 (2022)
768,Frontiers of Structural and Civil Engineering,2095-2430,2095-2449,3.0 (2022)
769,,,,
770,Fudan Journal of the Humanities and Social Sciences,1674-0750,2198-2600,2.0 (2022)
771,Functional & Integrative Genomics,,,2.9 (2022)
772,Functional Analysis and Its Applications,0016-2663,1573-8485,0.4 (2022)
773,Functional Analysis and Other Mathematics,,,
774,Functional Composite Materials,,,
775,Functional Linguistics,,,
776,Fungal Biology and Biotechnology,,,
777,Fungal Diversity,,,20.3 (2022)
778,Future Business Journal,,,
779,Future Cities and Environment,,,
780,Future Journal of Pharmaceutical Sciences,,,
781,Fuzzy Information and Engineering,,,
782,Fuzzy Optimization and Decision Making,1568-4539,1573-2908,4.7 (2022)
783,Fuß & Sprunggelenk,,,
784,focus neurogeriatrie,,,
785,Journal of Neural Transmission,0300-9564,1435-1463,3.3 (2022)
786,Journal of Neural Transmission: Parkinson's Disease a and Dementia Section,,,
787,Journal of Neuro-Oncology,0167-594X,1573-7373,3.9 (2022)
788,Journal of NeuroEngineering and Rehabilitation,,,
789,Journal of NeuroVirology,1355-0284,1538-2443,3.2 (2022)
790,Journal of Neurodevelopmental Disorders,,,
791,Journal of Neuroimmune Pharmacology,,,6.2 (2022)
792,Journal of Neuroinflammation,,,
793,Journal of Neurology,0340-5354,1432-1459,6.0 (2022)
794,Journal of Nondestructive Evaluation,0195-9298,1573-4862,2.8 (2022)
795,Journal of Nonlinear Mathematical Physics,,,0.7 (2022)
796,Journal of Nonlinear Science,0938-8974,1432-1467,3.0 (2022)
797,Journal of Nonverbal Behavior,0191-5886,1573-3653,2.1 (2022)
798,Journal of Nuclear Cardiology,1071-3581,1532-6551,2.4 (2022)
799,Journal of Occupational Medicine and Toxicology,,,
800,Journal of Occupational Rehabilitation,1053-0487,1573-3688,3.3 (2022)
801,Journal of Ocean Engineering and Marine Energy,2198-6444,2198-6452,1.9 (2022)
802,Journal of Ocean University of China,1672-5182,1993-5021,1.6 (2022)
803,Journal of Oceanography,0916-8370,1573-868X,2.3 (2022)
804,Journal of Oceanology and Limnology,2096-5508,2523-3521,1.6 (2022)
805,"Journal of Ocular Biology, Diseases, and Informatics",,,
806,"Journal of Open Innovation: Technology, Market, and Complexity",,,
807,Journal of Ophthalmic Inflammation and Infection,,,
808,Journal of Optical and Fiber Communications Research,,,
809,Journal of Optics,0972-8821,0974-6900,1.8 (2022)
810,Journal of Optimization Theory and Applications,0022-3239,1573-2878,1.9 (2022)
811,Journal of Organization Design,,,21 days
812,Journal of Ornithology,2193-7192,2193-7206,1.3 (2022)
813,Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie,,,1.7 (2022)
814,Journal of Orthopaedic Science,,,
815,Journal of Orthopaedic Surgery and Research,,,
816,Journal of Orthopaedics and Traumatology,,,
817,Journal of Otolaryngology - Head & Neck Surgery,,,
818,Journal of Outdoor and Environmental Education,2206-3110,2522-879X,2.0 (2022)
819,Journal of Ovarian Research,,,
